-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Climatology Climatologies 
30-year Meteorological and Solar Monthly & Annual Climatologies (January 1990 - December 2019) 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_KT                                SRB V3/CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
CLRSKY_KT                                SRB V3/CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) 
ALLSKY_NKT                               SRB V3/CERES SYN1deg All Sky Normalized Insolation Clearness Index (dimensionless) 
CLRSKY_NKT                               SRB V3/CERES SYN1deg Clear Sky Normalized Insolation Clearness Index (dimensionless) 
ALLSKY_SRF_ALB                           SRB V3/CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI                        SRB V3/CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN                        SRB V3/CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN                        SRB V3/CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF                       SRB V3/CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI_MAX                    SRB V3/CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance Maximum (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI_MIN                    SRB V3/CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance Minimum (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF_MAX                   SRB V3/CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance Maximum (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF_MIN                   SRB V3/CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance Minimum (kW-hr/m^2/day) 
SI_EF_TILTED_SURFACE_HORIZONTAL          SRB V3/CERES SYN1deg Solar Irradiance for Equator Facing Horizontal Surface (kW-hr/m^2/day) 
SI_EF_TILTED_SURFACE_LAT_MINUS15         SRB V3/CERES SYN1deg Solar Irradiance for Equator Facing Latitude Minus 15 Tilt (kW-hr/m^2/day) 
SI_EF_TILTED_SURFACE_LATITUDE            SRB V3/CERES SYN1deg Solar Irradiance for Equator Facing Latitude Tilt (kW-hr/m^2/day) 
SI_EF_TILTED_SURFACE_LAT_PLUS15          SRB V3/CERES SYN1deg Solar Irradiance for Equator Facing Latitude Plus 15 Tilt (kW-hr/m^2/day) 
SI_EF_TILTED_SURFACE_VERTICAL            SRB V3/CERES SYN1deg Solar Irradiance for Equator Facing Vertical Surface (kW-hr/m^2/day) 
SI_EF_TILTED_SURFACE_OPTIMAL             SRB V3/CERES SYN1deg Solar Irradiance Optimal (kW-hr/m^2/day) 
SI_EF_TILTED_SURFACE_OPTIMAL_ANG         SRB V3/CERES SYN1deg Solar Irradiance Optimal Angle (Degrees) 
SI_EF_TILTED_SURFACE_OPTIMAL_ANG_ORT     SRB V3/CERES SYN1deg Solar Irradiance Tilted Surface Orientation (N/S Orientation) 
-END HEADER-
PARAMETER,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,-0.25,100.25,0.45,0.47,0.48,0.5,0.52,0.53,0.52,0.49,0.47,0.46,0.46,0.45,0.48
ALLSKY_KT,-0.25,100.75,0.45,0.47,0.48,0.5,0.52,0.53,0.52,0.49,0.47,0.46,0.46,0.45,0.48
ALLSKY_KT,-0.25,101.25,0.44,0.45,0.48,0.5,0.53,0.54,0.53,0.5,0.47,0.47,0.48,0.45,0.48
ALLSKY_KT,-0.25,101.75,0.44,0.45,0.48,0.5,0.53,0.54,0.53,0.5,0.47,0.47,0.48,0.45,0.48
ALLSKY_KT,-0.25,102.25,0.43,0.45,0.46,0.48,0.5,0.51,0.5,0.48,0.45,0.45,0.45,0.44,0.47
ALLSKY_KT,-0.25,102.75,0.43,0.45,0.46,0.48,0.5,0.51,0.5,0.48,0.45,0.45,0.45,0.44,0.47
ALLSKY_KT,-0.25,103.25,0.43,0.46,0.45,0.46,0.47,0.48,0.48,0.47,0.44,0.43,0.42,0.41,0.45
ALLSKY_KT,-0.25,103.75,0.43,0.46,0.45,0.46,0.47,0.48,0.48,0.47,0.44,0.43,0.42,0.41,0.45
ALLSKY_KT,-0.25,104.25,0.45,0.5,0.48,0.47,0.47,0.49,0.49,0.48,0.46,0.42,0.4,0.4,0.46
ALLSKY_KT,-0.25,104.75,0.45,0.5,0.48,0.47,0.47,0.49,0.49,0.48,0.46,0.42,0.4,0.4,0.46
ALLSKY_KT,-0.25,105.25,0.48,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.49,0.44,0.41,0.41,0.49
ALLSKY_KT,-0.25,105.75,0.48,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.49,0.44,0.41,0.41,0.49
ALLSKY_KT,-0.25,106.25,0.48,0.52,0.54,0.54,0.53,0.52,0.52,0.52,0.49,0.45,0.42,0.42,0.5
ALLSKY_KT,-0.25,106.75,0.48,0.52,0.54,0.54,0.53,0.52,0.52,0.52,0.49,0.45,0.42,0.42,0.5
ALLSKY_KT,-0.25,107.25,0.48,0.51,0.54,0.53,0.53,0.53,0.53,0.54,0.49,0.45,0.43,0.43,0.5
ALLSKY_KT,-0.25,107.75,0.48,0.51,0.54,0.53,0.53,0.53,0.53,0.54,0.49,0.45,0.43,0.43,0.5
ALLSKY_KT,-0.25,108.25,0.49,0.52,0.53,0.53,0.54,0.55,0.56,0.55,0.5,0.46,0.46,0.45,0.51
ALLSKY_KT,-0.25,108.75,0.49,0.52,0.53,0.53,0.54,0.55,0.56,0.55,0.5,0.46,0.46,0.45,0.51
ALLSKY_KT,-0.25,109.25,0.49,0.5,0.51,0.52,0.54,0.55,0.56,0.54,0.5,0.47,0.47,0.46,0.51
ALLSKY_KT,-0.25,109.75,0.49,0.5,0.51,0.52,0.54,0.55,0.56,0.54,0.5,0.47,0.47,0.46,0.51
ALLSKY_KT,-0.75,100.25,0.45,0.47,0.48,0.5,0.52,0.53,0.52,0.49,0.47,0.46,0.46,0.45,0.48
ALLSKY_KT,-0.75,100.75,0.45,0.47,0.48,0.5,0.52,0.53,0.52,0.49,0.47,0.46,0.46,0.45,0.48
ALLSKY_KT,-0.75,101.25,0.44,0.45,0.48,0.5,0.53,0.54,0.53,0.5,0.47,0.47,0.48,0.45,0.48
ALLSKY_KT,-0.75,101.75,0.44,0.45,0.48,0.5,0.53,0.54,0.53,0.5,0.47,0.47,0.48,0.45,0.48
